Main Box,Sub Box,Model File,X,Y,W,H
1,1,model_DY08_P1_S1.p,126,306,49,51
1,2,model_DY08_P1_S1.p,179,306,51,51
1,3,model_DY08_P1_S1.p,234,307,53,49
1,4,model_DY08_P1_S1.p,66,308,56,51
1,5,model_DY08_P1_S1.p,181,363,50,51
1,6,model_DY08_P1_S1.p,233,363,56,50
1,7,model_DY08_P1_S1.p,126,364,51,51
1,8,model_DY08_P1_S1.p,64,366,59,52
1,9,model_DY08_P1_S1.p,183,421,50,46
1,10,model_DY08_P1_S1.p,128,422,51,47
1,11,model_DY08_P1_S1.p,237,422,56,43
1,12,model_DY08_P1_S1.p,66,425,58,49
1,13,model_DY08_P1_S1.p,239,473,54,47
1,14,model_DY08_P1_S1.p,185,475,50,49
1,15,model_DY08_P1_S1.p,129,477,52,50
1,16,model_DY08_P1_S1.p,65,479,59,49
1,17,model_DY08_P1_S1.p,240,527,51,55
1,18,model_DY08_P1_S1.p,187,531,49,51
1,19,model_DY08_P1_S1.p,131,535,51,50
1,20,model_DY08_P1_S1.p,67,540,59,48
2,1,model_DY08_P1_S2.p,342,207,59,339
2,2,model_DY08_P1_S2.p,416,207,43,339
